bed_time,rise_time,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc,total_steps,total_steps_perc
2021-2-28 01:20:00,2021-3-2 10:23:00,2,13,65,22,8:52:00,25,4842,48.42
2021-3-2 00:09:00,2021-3-3 07:00:00,1,21,47,32,6:43:00,13,4384,43.84
2021-3-3 23:38:00,2021-3-4 08:10:00,3,15,61,24,8:24:00,38,2146,21.46
2021-3-4 23:51:00,2021-3-5 07:01:00,1,21,51,28,7:06:00,13,8900,89
2021-3-5 23:27:00,2021-3-6 07:24:00,2,14,58,28,7:44:00,25,11731,117.31
2021-3-6 02:54:00,2021-3-7 09:34:00,3,16,68,16,9:15:00,38,7504,75.04
2021-3-7 00:47:00,2021-3-8 11:27:00,4,28,40,32,10:14:00,50,11919,119.19
2021-3-8 23:31:00,2021-3-9 08:10:00,6,19,58,23,7:47:00,75,2766,27.66
2021-3-9 23:44:00,2021-3-10 08:01:00,4,16,60,24,8:02:00,50,2884,28.84
2021-3-10 23:59:00,2021-3-11 08:00:00,3,16,62,22,7:55:00,38,1988,19.88
2021-3-11 23:33:00,2021-3-12 08:50:00,4,14,60,26,8:46:00,50,5631,56.31
2021-3-12 23:55:00,2021-3-15 06:55:00,2,25,50,25,6:41:00,25,5007,50.07
2021-3-15 23:43:00,2021-3-16 06:36:00,1,15,47,38,6:52:00,13,6892,68.92
2021-3-16 23:26:00,2021-3-17 07:59:00,2,23,50,27,8:14:00,25,4029,40.29
2021-3-17 23:32:00,2021-3-18 07:01:00,3,14,65,21,7:12:00,38,3390,33.9
2021-3-18 23:31:00,2021-3-19 08:00:00,3,16,60,24,8:21:00,38,5151,51.51
2021-3-19 23:34:00,2021-3-20 07:14:00,4,18,65,17,7:20:00,50,5042,50.42
2021-3-20 00:26:00,2021-3-23 09:12:00,2,16,59,25,8:29:00,25,4769,47.69
2021-3-23 23:29:00,2021-3-24 08:22:00,3,30,41,29,7:56:00,38,5066,50.66
2021-3-24 23:44:00,2021-3-25 06:22:00,2,16,67,17,6:25:00,25,3810,38.1
2021-3-25 23:50:00,2021-3-26 07:20:00,1,17,57,26,7:22:00,13,8295,82.95
2021-3-26 02:06:00,2021-3-29 09:10:00,2,18,57,25,7:00:00,25,2698,26.98
2021-3-29 22:57:00,2021-3-30 08:14:00,3,23,60,17,8:29:00,38,9863,98.63
2021-3-30 00:20:00,2021-4-2 07:29:00,4,19,60,21,6:53:00,50,8746,87.46
2021-4-2 00:09:00,2021-4-3 08:38:00,5,18,56,26,8:09:00,63,10627,106.27
2021-4-3 23:51:00,2021-4-6 10:01:00,2,13,63,24,10:02:00,25,2920,29.2
2021-4-6 01:46:00,2021-4-7 08:58:00,3,19,53,28,6:53:00,38,7499,74.99
2021-4-7 23:58:00,2021-4-8 09:32:00,2,13,58,29,9:19:00,25,10129,101.29
2021-4-8 00:31:00,2021-4-9 09:20:00,2,20,59,21,8:11:00,25,7936,79.36
2021-4-9 00:21:00,2021-4-10 09:10:00,1,27,46,27,8:38:00,13,11022,110.22
2021-4-10 00:54:00,2021-4-11 09:29:00,2,23,59,18,8:01:00,25,5824,58.24
2021-4-11 01:08:00,2021-4-12 09:50:00,1,18,64,18,8:18:00,13,19359,193.59
2021-4-12 00:45:00,2021-4-15 08:15:00,2,17,53,30,6:59:00,25,2147,21.47
